ask	a0	a1	a2	a3	a4	a5	a6	a7	a8	a9	bid	b0	b1	b2	b3	b4	b5	b6	b7	b8	b9
58747.67	58750.01	58756.02	58761.38	58768.09926	58776.87	58793.59	58771.02227	58779.92	58791.83	58802.49	58613.36807	58575.10721	58582.94	58586.99	58596.59246	58606.96	58618.94492	58593.3604	58604.05655	58625.18835	58630.27	
58763.96	58756.02	58761.38	58768.09926	58776.87	58793.59	58771.02227	58779.92	58791.83	58802.49	58804.68	58621.3025	58582.94	58586.99	58596.59246	58606.96	58618.94492	58593.3604	58604.05655	58625.18835	58630.27	58630.92	
58788.49	58761.38	58768.09926	58776.87	58793.59	58771.02227	58779.92	58791.83	58802.49	58804.68	58805.3662	58648.434	58586.99	58596.59246	58606.96	58618.94492	58593.3604	58604.05655	58625.18835	58630.27	58630.92	58633.15	
58821.06	58768.09926	58776.87	58793.59	58771.02227	58779.92	58791.83	58802.49	58804.68	58805.3662	58791.4667	58673.22244	58596.59246	58606.96	58618.94492	58593.3604	58604.05655	58625.18835	58630.27	58630.92	58633.15	58613.56	
58828.17	58776.87	58793.59	58771.02227	58779.92	58791.83	58802.49	58804.68	58805.3662	58791.4667	58803.91032	58676.53526	58606.96	58618.94492	58593.3604	58604.05655	58625.18835	58630.27	58630.92	58633.15	58613.56	58633.53	
58831.58	58793.59	58771.02227	58779.92	58791.83	58802.49	58804.68	58805.3662	58791.4667	58803.91032	58804.93	58674.55874	58618.94492	58593.3604	58604.05655	58625.18835	58630.27	58630.92	58633.15	58613.56	58633.53	58630.74	
58835.3	58771.02227	58779.92	58791.83	58802.49	58804.68	58805.3662	58791.4667	58803.91032	58804.93	58799.63	58675.29	58593.3604	58604.05655	58625.18835	58630.27	58630.92	58633.15	58613.56	58633.53	58630.74	58628.06345	
58881.34	58779.92	58791.83	58802.49	58804.68	58805.3662	58791.4667	58803.91032	58804.93	58799.63	58789.14	58706.8445	58604.05655	58625.18835	58630.27	58630.92	58633.15	58613.56	58633.53	58630.74	58628.06345	58618.0873	
58889.12046	58791.83	58802.49	58804.68	58805.3662	58791.4667	58803.91032	58804.93	58799.63	58789.14	58790.01	58725.34	58625.18835	58630.27	58630.92	58633.15	58613.56	58633.53	58630.74	58628.06345	58618.0873	58618.98707	
58893.63	58802.49	58804.68	58805.3662	58791.4667	58803.91032	58804.93	58799.63	58789.14	58790.01	58798.77	58726.99	58630.27	58630.92	58633.15	58613.56	58633.53	58630.74	58628.06345	58618.0873	58618.98707	58630.42	
58881.3046	58804.68	58805.3662	58791.4667	58803.91032	58804.93	58799.63	58789.14	58790.01	58798.77	58805.22	58715.15	58630.92	58633.15	58613.56	58633.53	58630.74	58628.06345	58618.0873	58618.98707	58630.42	58625.73	
58881.20293	58805.3662	58791.4667	58803.91032	58804.93	58799.63	58789.14	58790.01	58798.77	58805.22	58806.0478	58716.16	58633.15	58613.56	58633.53	58630.74	58628.06345	58618.0873	58618.98707	58630.42	58625.73	58627.49	
58887.04156	58791.4667	58803.91032	58804.93	58799.63	58789.14	58790.01	58798.77	58805.22	58806.0478	58794.88169	58723.54	58613.56	58633.53	58630.74	58628.06345	58618.0873	58618.98707	58630.42	58625.73	58627.49	58619.38764	
58883.1859	58803.91032	58804.93	58799.63	58789.14	58790.01	58798.77	58805.22	58806.0478	58794.88169	58806.66322	58715.58	58633.53	58630.74	58628.06345	58618.0873	58618.98707	58630.42	58625.73	58627.49	58619.38764	58630.85	
58890.49994	58804.93	58799.63	58789.14	58790.01	58798.77	58805.22	58806.0478	58794.88169	58806.66322	58805.02	58717.25	58630.74	58628.06345	58618.0873	58618.98707	58630.42	58625.73	58627.49	58619.38764	58630.85	58628.55478	
58886.77888	58799.63	58789.14	58790.01	58798.77	58805.22	58806.0478	58794.88169	58806.66322	58805.02	58782.07967	58715.25	58628.06345	58618.0873	58618.98707	58630.42	58625.73	58627.49	58619.38764	58630.85	58628.55478	58609.8	
58866.34674	58789.14	58790.01	58798.77	58805.22	58806.0478	58794.88169	58806.66322	58805.02	58782.07967	58763.49956	58697.25	58618.0873	58618.98707	58630.42	58625.73	58627.49	58619.38764	58630.85	58628.55478	58609.8	58593.6	
58850.18	58790.01	58798.77	58805.22	58806.0478	58794.88169	58806.66322	58805.02	58782.07967	58763.49956	58760.75	58682.31223	58618.98707	58630.42	58625.73	58627.49	58619.38764	58630.85	58628.55478	58609.8	58593.6	58592.4	
58845.1	58798.77	58805.22	58806.0478	58794.88169	58806.66322	58805.02	58782.07967	58763.49956	58760.75	58753.26	58679.00044	58630.42	58625.73	58627.49	58619.38764	58630.85	58628.55478	58609.8	58593.6	58592.4	58580.5	
