ask,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,bid,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,ask_pade,bid_pade
48973.79974,48974.72019,48977.0473,48968.27988,48967.87,48963.29,48963.53,48945.36,48957.12,48956.79,48957.99,48681.79,48677.55,48677.66208,48668.92,48668.76845,48666.66389,48666.66389,48666.17109,48666.17109,48658.28,48662.8369,-469.97337803856857,-361.1542261544574,
48977.7,48977.0473,48968.27988,48967.87,48963.29,48963.53,48945.36,48957.12,48956.79,48957.99,48955.42,48682.91,48677.66208,48668.92,48668.76845,48666.66389,48666.66389,48666.17109,48666.17109,48658.28,48662.8369,48662.8369,-354.23025540074485,-309.68667727711295,
48973.81757,48968.27988,48967.87,48963.29,48963.53,48945.36,48957.12,48956.79,48957.99,48955.42,48958.05,48680.2,48668.92,48668.76845,48666.66389,48666.66389,48666.17109,48666.17109,48658.28,48662.8369,48662.8369,48662.22322,-316.639748884134,-288.4510272541811,
48975.89,48967.87,48963.29,48963.53,48945.36,48957.12,48956.79,48957.99,48955.42,48958.05,48956.2,48679.72,48668.76845,48666.66389,48666.66389,48666.17109,48666.17109,48658.28,48662.8369,48662.8369,48662.22322,48662.22322,-359.401916779566,-348.79435005135696,
48975.89,48963.29,48963.53,48945.36,48957.12,48956.79,48957.99,48955.42,48958.05,48956.2,48955.47,48679.72,48666.66389,48666.66389,48666.17109,48666.17109,48658.28,48662.8369,48662.8369,48662.22322,48662.22322,48663.02,-277.5195032332138,-136.67343735135952,
48976.39,48963.53,48945.36,48957.12,48956.79,48957.99,48955.42,48958.05,48956.2,48955.47,48956.18,48678.23,48666.66389,48666.17109,48666.17109,48658.28,48662.8369,48662.8369,48662.22322,48662.22322,48663.02,48664.58,-150.25398678654048,-160.68549099824924,
48976.38,48945.36,48957.12,48956.79,48957.99,48955.42,48958.05,48956.2,48955.47,48956.18,48960.51,48677.25,48666.17109,48666.17109,48658.28,48662.8369,48662.8369,48662.22322,48662.22322,48663.02,48664.58,48668.92,-114.80361244325314,-141.70538237852966,
48976.38,48957.12,48956.79,48957.99,48955.42,48958.05,48956.2,48955.47,48956.18,48960.51,48963.93,48676.54,48666.17109,48658.28,48662.8369,48662.8369,48662.22322,48662.22322,48663.02,48664.58,48668.92,48671.94,-218.42171150454323,-191.86299913685727,
48975.71819,48956.79,48957.99,48955.42,48958.05,48956.2,48955.47,48956.18,48960.51,48963.93,48963.26,48675.24566,48658.28,48662.8369,48662.8369,48662.22322,48662.22322,48663.02,48664.58,48668.92,48671.94,48669.73,-195.4573313263971,-116.44249535686524,
48975.71819,48957.99,48955.42,48958.05,48956.2,48955.47,48956.18,48960.51,48963.93,48963.26,48963.01,48675.24566,48662.8369,48662.8369,48662.22322,48662.22322,48663.02,48664.58,48668.92,48671.94,48669.73,48668.03,-50.14505961612427,145.88089254014815,
48975.61551,48955.42,48958.05,48956.2,48955.47,48956.18,48960.51,48963.93,48963.26,48963.01,48963.04384,48675.31824,48662.8369,48662.22322,48662.22322,48663.02,48664.58,48668.92,48671.94,48669.73,48668.03,48670.86,-89.03767448624006,-432.1634507472674,
48975.38,48958.05,48956.2,48955.47,48956.18,48960.51,48963.93,48963.26,48963.01,48963.04384,48963.96219,48675.31824,48662.22322,48662.22322,48663.02,48664.58,48668.92,48671.94,48669.73,48668.03,48670.86,48671.26,-351.5337587562881,-182.30307030245973,
48976.2,48956.2,48955.47,48956.18,48960.51,48963.93,48963.26,48963.01,48963.04384,48963.96219,48963.96219,48676.31237,48662.22322,48663.02,48664.58,48668.92,48671.94,48669.73,48668.03,48670.86,48671.26,48668.06,48.87279080294204,269.1368908037625,
48977.01,48955.47,48956.18,48960.51,48963.93,48963.26,48963.01,48963.04384,48963.96219,48963.96219,48965.54279,48676.31237,48663.02,48664.58,48668.92,48671.94,48669.73,48668.03,48670.86,48671.26,48668.06,48674.38,8.162879110794263,-149.69655888698048,
48976.80393,48956.18,48960.51,48963.93,48963.26,48963.01,48963.04384,48963.96219,48963.96219,48965.54279,48968.84,48676.95971,48664.58,48668.92,48671.94,48669.73,48668.03,48670.86,48671.26,48668.06,48674.38,48675.05,-210.33933511025774,-203.79898339251073,
48975.92,48960.51,48963.93,48963.26,48963.01,48963.04384,48963.96219,48963.96219,48965.54279,48968.84,48967.16288,48676.96899,48668.92,48671.94,48669.73,48668.03,48670.86,48671.26,48668.06,48674.38,48675.05,48676.46,63.440210003853764,149.60861030302772,
48975.95,48963.93,48963.26,48963.01,48963.04384,48963.96219,48963.96219,48965.54279,48968.84,48967.16288,48973.54357,48676.96899,48671.94,48669.73,48668.03,48670.86,48671.26,48668.06,48674.38,48675.05,48676.46,48683.66,-72.74409813124419,154.43205881894028,
48968.17,48963.26,48963.01,48963.04384,48963.96219,48963.96219,48965.54279,48968.84,48967.16288,48973.54357,48973.54357,48669.30012,48669.73,48668.03,48670.86,48671.26,48668.06,48674.38,48675.05,48676.46,48683.66,48682.5,18.70109556068142,93.20206264698214,
48968.17,48963.01,48963.04384,48963.96219,48963.96219,48965.54279,48968.84,48967.16288,48973.54357,48973.54357,48972.72953,48669.30012,48668.03,48670.86,48671.26,48668.06,48674.38,48675.05,48676.46,48683.66,48682.5,48684.37,-26.627122659547723,-120.85538977357237,
48965.52,48963.04384,48963.96219,48963.96219,48965.54279,48968.84,48967.16288,48973.54357,48973.54357,48972.72953,48973.79974,48667.76532,48670.86,48671.26,48668.06,48674.38,48675.05,48676.46,48683.66,48682.5,48684.37,48682.78,81.30473687737128,430.80232702680644,
48965.21,48963.96219,48963.96219,48965.54279,48968.84,48967.16288,48973.54357,48973.54357,48972.72953,48973.79974,48973.79974,48667.76532,48671.26,48668.06,48674.38,48675.05,48676.46,48683.66,48682.5,48684.37,48682.78,48681.79,70.0909756489342,54.9550631603009,
48964.67,48963.96219,48965.54279,48968.84,48967.16288,48973.54357,48973.54357,48972.72953,48973.79974,48973.79974,48977.7,48667.74448,48668.06,48674.38,48675.05,48676.46,48683.66,48682.5,48684.37,48682.78,48681.79,48682.91,-168.47803166840683,-53.54347249148027,
